id,surface,corpus,group,slot,mode,kind,text,renders,retrieval,constraints
hub.all.title.search,hub-title,all,the whole,,search,suggestion,Search the federal record for a phrase.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page
hub.all.title.explorer,hub-title,all,the whole,,explorer,suggestion,Ask the federal record a question.,"hub, resting state (the h1); explorer empty state (the heading)",,"measured to wrap at 1100/390 — a longer sentence changes the page; mirrored: this exact string is also the Explorer empty state’s heading in app/src/explorer/components/EmptyState.tsx, and the importer writes both files from this one row"
hub.all.s1.query,hub-sample,all,the whole,1,search,suggestion,Freedom of Information Act,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.all.s1.question,hub-sample,all,the whole,1,explorer,suggestion,What has the Office of Legal Counsel said about the Freedom of Information Act’s exemptions? List the opinions.,"hub, resting state (typed into the box); explorer empty state (an example button)",,"explorer mode — the topic in the reader’s own words; mirrored: this exact string is also EXAMPLE_QUESTIONS[].text in app/src/explorer/model/examples.ts, and the importer writes both files from this one row; the answer shape is a list — the wording must keep asking for one (""List the opinions."")"
hub.all.s2.query,hub-sample,all,the whole,2,search,suggestion,artificial intelligence,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.all.s2.question,hub-sample,all,the whole,2,explorer,suggestion,How many rules and proposed rules about artificial intelligence has the Federal Register published since 1994?,"hub, resting state (typed into the box); explorer empty state (an example button)",,"explorer mode — the topic in the reader’s own words; mirrored: this exact string is also EXAMPLE_QUESTIONS[].text in app/src/explorer/model/examples.ts, and the importer writes both files from this one row; the answer shape is a count — the wording must keep asking ""How many…"""
hub.all.s3.query,hub-sample,all,the whole,3,search,suggestion,Administrative Procedure Act,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.all.s3.question,hub-sample,all,the whole,3,explorer,suggestion,How have federal courts handled challenges to agency rulemaking since January 2025? A short narrative with citations.,"hub, resting state (typed into the box); explorer empty state (an example button)",,"explorer mode — the topic in the reader’s own words; mirrored: this exact string is also EXAMPLE_QUESTIONS[].text in app/src/explorer/model/examples.ts, and the importer writes both files from this one row; the answer shape is a narrative — the wording must keep asking for one (""A short narrative with citations."")"
hub.usc.title.search,hub-title,usc,The law,,search,suggestion,Search the U.S. Code for a section or a term.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page
hub.usc.title.explorer,hub-title,usc,The law,,explorer,suggestion,Ask the U.S. Code what the law says.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page
hub.usc.s1.query,hub-sample,usc,The law,1,search,suggestion,8 U.S.C. 1225,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.usc.s1.question,hub-sample,usc,The law,1,explorer,suggestion,What does the law require before someone is removed without a hearing?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words
hub.usc.s2.query,hub-sample,usc,The law,2,search,suggestion,insurrection,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.usc.s2.question,hub-sample,usc,The law,2,explorer,suggestion,Which statutes let the President use the armed forces against an insurrection?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words
hub.usc.s3.query,hub-sample,usc,The law,3,search,suggestion,inspector general,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question"
hub.usc.s3.question,hub-sample,usc,The law,3,explorer,suggestion,What must the President tell Congress before removing an inspector general?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words
hub.cfr.title.search,hub-title,cfr,The law,,search,suggestion,Search the regulations for a part or a term.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; the CFR is current state only — nothing may ask how a rule changed
hub.cfr.title.explorer,hub-title,cfr,The law,,explorer,suggestion,Ask the regulations what the agencies require.,"hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; the CFR is current state only — nothing may ask how a rule changed
hub.cfr.s1.query,hub-sample,cfr,The law,1,search,suggestion,reduction in force,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the CFR is current state only — nothing may ask how a rule changed"
hub.cfr.s1.question,hub-sample,cfr,The law,1,explorer,suggestion,What do the regulations in force require before an agency cuts federal jobs?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the CFR is current state only — nothing may ask how a rule changed
hub.cfr.s2.query,hub-sample,cfr,The law,2,search,suggestion,asylum,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the CFR is current state only — nothing may ask how a rule changed"
hub.cfr.s2.question,hub-sample,cfr,The law,2,explorer,suggestion,What do the current rules require of someone applying for asylum?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the CFR is current state only — nothing may ask how a rule changed
hub.cfr.s3.query,hub-sample,cfr,The law,3,search,suggestion,security clearance,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; the CFR is current state only — nothing may ask how a rule changed"
hub.cfr.s3.question,hub-sample,cfr,The law,3,explorer,suggestion,What do the regulations require before an agency grants a security clearance?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; the CFR is current state only — nothing may ask how a rule changed
hub.congress.title.search,hub-title,congress,The law,,search,suggestion,"Search Congress for a law, a bill, a hearing.","hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; Congress reaches 1789 only for public laws; hearings from 1933
hub.congress.title.explorer,hub-title,congress,The law,,explorer,suggestion,"Ask Congress what it passed, and what it heard.","hub, resting state (the h1)",,measured to wrap at 1100/390 — a longer sentence changes the page; Congress reaches 1789 only for public laws; hearings from 1933
hub.congress.s1.query,hub-sample,congress,The law,1,search,suggestion,War Powers Resolution,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; Congress reaches 1789 only for public laws; hearings from 1933"
hub.congress.s1.question,hub-sample,congress,The law,1,explorer,suggestion,"Which public law is the War Powers Resolution, and what does it require?","hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; Congress reaches 1789 only for public laws; hearings from 1933
hub.congress.s2.query,hub-sample,congress,The law,2,search,suggestion,Foreign Intelligence Surveillance Act,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; Congress reaches 1789 only for public laws; hearings from 1933"
hub.congress.s2.question,hub-sample,congress,The law,2,explorer,suggestion,Which public laws have amended the Foreign Intelligence Surveillance Act?,"hub, resting state (typed into the box)",,explorer mode — the topic in the reader’s own words; Congress reaches 1789 only for public laws; hearings from 1933
hub.congress.s3.query,hub-sample,congress,The law,3,search,suggestion,impoundment,"hub, resting state (typed into the box)",checked 2026-09-18 via /corpus/hub/keyword scoped to this corpus (hits not recorded),"keyword mode — a phrase, a name or a citation, never a question; Congress reaches 1789 only for public laws; hearings from 1933"
